frame.time_epoch,ip.src,ip.dst,ip.len
"1628092753.405293000","10.0.0.2","10.0.0.10","311"
"1628092754.409682000","10.0.0.2","10.0.0.10","311"
"1628092755.411464000","10.0.0.2","10.0.0.10","311"
"1628092756.413212000","10.0.0.2","10.0.0.10","311"
"1628092757.415464000","10.0.0.2","10.0.0.10","311"
"1628092758.417332000","10.0.0.2","10.0.0.10","311"
"1628092759.419926000","10.0.0.2","10.0.0.10","311"
"1628092760.420190000","10.0.0.2","10.0.0.10","311"
"1628092761.423733000","10.0.0.2","10.0.0.10","311"
"1628092762.429776000","10.0.0.2","10.0.0.10","311"
"1628092763.431029000","10.0.0.2","10.0.0.10","311"
"1628092764.431433000","10.0.0.2","10.0.0.10","311"
"1628092765.435071000","10.0.0.2","10.0.0.10","311"
"1628092766.436556000","10.0.0.2","10.0.0.10","311"
"1628092767.437770000","10.0.0.2","10.0.0.10","311"
"1628092768.438217000","10.0.0.2","10.0.0.10","311"
"1628092769.439078000","10.0.0.2","10.0.0.10","311"
"1628092770.440044000","10.0.0.2","10.0.0.10","311"
"1628092771.441676000","10.0.0.2","10.0.0.10","311"
"1628092772.442654000","10.0.0.2","10.0.0.10","311"
"1628092773.443323000","10.0.0.2","10.0.0.10","311"
"1628092774.446324000","10.0.0.2","10.0.0.10","311"
"1628092775.447452000","10.0.0.2","10.0.0.10","311"
"1628092776.447822000","10.0.0.2","10.0.0.10","311"
"1628092777.450371000","10.0.0.2","10.0.0.10","311"
"1628092778.451981000","10.0.0.2","10.0.0.10","311"
"1628092779.454427000","10.0.0.2","10.0.0.10","311"
"1628092780.460423000","10.0.0.2","10.0.0.10","311"
"1628092781.462009000","10.0.0.2","10.0.0.10","311"
"1628092782.479328000","10.0.0.2","10.0.0.10","311"
"1628092783.483770000","10.0.0.2","10.0.0.10","311"
"1628092784.484621000","10.0.0.2","10.0.0.10","311"
"1628092785.485700000","10.0.0.2","10.0.0.10","311"
"1628092786.487252000","10.0.0.2","10.0.0.10","311"
"1628092787.489389000","10.0.0.2","10.0.0.10","311"
"1628092788.490143000","10.0.0.2","10.0.0.10","311"
"1628092789.491421000","10.0.0.2","10.0.0.10","311"
"1628092790.492347000","10.0.0.2","10.0.0.10","311"
"1628092791.494158000","10.0.0.2","10.0.0.10","311"
"1628092792.495862000","10.0.0.2","10.0.0.10","311"
"1628092793.497844000","10.0.0.2","10.0.0.10","311"
"1628092794.505433000","10.0.0.2","10.0.0.10","311"
"1628092795.510297000","10.0.0.2","10.0.0.10","311"
"1628092796.514871000","10.0.0.2","10.0.0.10","311"
"1628092797.515921000","10.0.0.2","10.0.0.10","311"
"1628092798.520304000","10.0.0.2","10.0.0.10","311"
"1628092799.523447000","10.0.0.2","10.0.0.10","311"
"1628092800.523742000","10.0.0.2","10.0.0.10","311"
"1628092801.526459000","10.0.0.2","10.0.0.10","311"
"1628092802.527038000","10.0.0.2","10.0.0.10","311"
"1628092803.527610000","10.0.0.2","10.0.0.10","311"
"1628092804.528329000","10.0.0.2","10.0.0.10","311"
"1628092805.529042000","10.0.0.2","10.0.0.10","311"
"1628092806.532447000","10.0.0.2","10.0.0.10","311"
"1628092807.533744000","10.0.0.2","10.0.0.10","311"
"1628092808.534852000","10.0.0.2","10.0.0.10","311"
"1628092809.536148000","10.0.0.2","10.0.0.10","311"
"1628092810.541768000","10.0.0.2","10.0.0.10","311"
"1628092811.545261000","10.0.0.2","10.0.0.10","311"
"1628092812.547121000","10.0.0.2","10.0.0.10","311"
"1628092813.548201000","10.0.0.2","10.0.0.10","311"
"1628092814.549394000","10.0.0.2","10.0.0.10","311"
"1628092815.551173000","10.0.0.2","10.0.0.10","311"
"1628092816.551400000","10.0.0.2","10.0.0.10","311"
"1628092817.551674000","10.0.0.2","10.0.0.10","311"
