frame.time_epoch,ip.src,ip.dst,ip.len,tcp.len,tcp.flags.ack
"1552411970.474979000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.476109000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.477319000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.477404000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.478516000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.479742000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.479828000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.480935000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.482158000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.482227000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.483375000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.484588000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.484662000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.485797000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.487013000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.487088000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.488220000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.489431000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.489510000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.490631000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.491854000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.491948000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.493065000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.494273000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.494362000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.495486000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.496697000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.496774000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.497907000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.499117000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.499192000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.500326000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.501543000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.501622000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.502755000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.503957000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.504044000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.505171000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.506378000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.506439000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.507590000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.508801000","10.1.0.0","10.2.0.0","1500","1448","1"
